"ID";"P02_A";"P03";"P04_A";"P04_B";"P05";"P06_A";"P06_B";"P07";"P08_A";"P08_B";"P09";"P10";"P11";"P12";"P13_A";"P13_B";"P14";"P15";"P16_A";"P16_B";"P17";"P18";"P19_B";"P19_C";"P19_D";"P19_E";"P20";"P21_A";"P21_B_1";"P21_B_2";"P21_B_3";"P21_B_4";"P21_B_5";"P21_B_6";"P21_B_7";"P21_8A";"P21_8B";"P21_B_9";"P21_B_10";"P21_B_11";"P21_B_12";"P22";"P23_A";"P23_B";"P23_C";"P23_D";"P23_E";"P23_F";"P23_G";"P23_H";"P23_I";"P24_A";"P24_B";"P24_C";"P24_D";"P25_A";"P25_B";"P25_E";"P26";"P27_A";"V05";"V07";"V08_A";"V08_B";"V09_A";"V09_B";"V09_C";"V09_D";"V10";"V11";"V12_1";"V12_2";"V12_3";"V12_4";"VD_P27_B";"VD12_5";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"3156";53;2;1;1;3;5;5;2;2;2;3;3;2;2;1;2;97;3;1;1;1;1;2;2;2;2;1;1;2;1;2;2;2;1;2;1;2;1;2;1;1;2;;;;;;;;;;2;1;97;2;2;2;2;4;2;2;2;3;1;1;;;4;2;3;1;0;0;1;;0;5;2;2;3;1;1;2;2;3;6175398,59426123;2714476,69930958;1277187,21734867;3698976,34110253;5140756,49169244;0,33302706850512;7956,65482603046
"3157";25;2;1;2;1;3;;1;1;1;3;3;3;2;1;2;1;3;2;1;1;2;2;1;2;2;1;1;2;1;2;2;2;2;2;1;2;1;2;1;1;1;1;1;1;1;2;2;1;3;1;1;1;1;2;2;2;2;1;1;1;2;4;1;1;;;1;4;3;0;0;0;0;1;1;2;1;2;4;1;1;2;3;3;22937254,8699374;13054252,8137814;5581173,8955491;6474733,97617184;10694694,8990073;0,23357627029739;3031,21993577785
"3158";12;2;1;2;4;1;;2;2;2;3;3;3;3;1;3;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;1;2;1;2;2;2;2;2;2;;;;;;;;;;2;1;2;2;2;2;2;2;2;1;3;2;1;2;1;;97;2;2;1;0;0;1;;0;1;3;3;2;1;1;1;2;1;6858908,59017553;2440573,74107289;9643625,74810525;2424907,60474098;4488406,66344907;0,0504205912948909;905,394062649066
"3159";25;2;2;;2;6;;1;1;1;2;2;1;2;1;2;1;2;2;1;1;6;2;2;2;2;1;1;2;1;1;1;1;2;1;1;2;1;2;1;1;2;;;;;;;;;;1;1;2;2;2;2;2;1;1;1;1;4;1;1;;;2;1;3;0;0;0;0;2;1;2;4;1;4;1;1;2;1;3;22937254,8699374;6001726,88331152;10746878,5794495;6474733,97617184;10694694,8990073;0,23357627029739;1452,8066605396
"3160";15;1;2;;2;6;;2;2;2;97;2;1;2;2;;1;2;1;2;2;2;2;1;1;2;2;2;;;;;;;;;;;;;;2;;;;;;;;;;1;1;1;1;2;1;1;1;2;2;3;2;2;1;;;5;1;2;0;0;0;0;;1;1;2;3;1;1;1;1;1;2;6773138,38201185;2888659,36430057;9643625,74810525;4476107,8973058;5475108,39068382;0,56143908756424;38224,8773564665
"3161";17;1;2;;2;3;;2;2;2;3;3;1;3;1;2;1;1;2;1;1;1;2;1;1;1;1;2;;;;;;;;;;;;;;2;;;;;;;;;;1;2;2;2;2;1;2;2;2;1;3;4;1;1;;;1;2;3;0;0;0;0;;1;1;2;3;4;1;1;2;2;2;6858908,59017553;2888659,36430057;9643625,74810525;2399410,71828191;5475108,39068382;0,0586451565783018;793,8866057696
"3162";32;1;2;;2;1;;2;2;2;3;3;5;2;1;2;97;3;2;1;1;3;2;2;2;2;3;1;2;1;2;2;;;2;;;;2;1;1;;;;;;;;;;;2;2;2;1;1;2;2;2;2;1;3;2;2;1;;;2;1;2;0;0;0;0;;1;3;5;3;1;1;1;1;1;2;37266731,3639616;14834776,5503979;26349818,4883615;18000789,3565969;28238670,7866954;0,197518151107859;9273,45555636034
"3163";53;1;2;;3;1;;1;2;2;97;2;3;3;1;2;1;2;1;1;1;1;97;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2;;;;;;;;;;1;1;2;2;1;2;1;1;2;1;3;3;1;1;;;5;2;3;0;0;0;0;;1;5;1;3;3;1;1;2;2;3;6471216,17364217;3709383,01387224;6771368,0568895;3698976,34110253;5140756,49169244;0,33302706850512;9571,59825402463
"3164";28;1;2;;4;1;;1;1;1;3;2;3;2;2;;2;3;1;1;1;6;1;1;1;1;3;1;2;1;1;1;;;2;;;;2;1;1;;;;;;;;;;;1;1;2;1;2;1;1;2;2;1;1;1;;2;2;2;;1;97;0;0;0;0;;1;2;5;1;1;3;2;97;1;2;22937254,8699374;7668933,99399618;10746878,5794495;17089583,3906671;14013646,6711406;0,153357284914487;10045,0493753159
"3165";51;1;2;;1;2;;1;2;2;3;3;5;3;1;2;1;2;2;2;2;6;2;1;2;2;1;1;1;1;1;1;1;2;1;1;2;1;2;2;1;2;;;;;;;;;;2;2;2;1;1;1;2;2;2;2;5;4;1;1;;;5;1;97;0;0;0;0;;1;5;2;4;4;1;1;97;1;1;6175398,59426123;2714476,69930958;125494,18994751;3283461,63546948;3921361,82450623;1,17830452646159;3375,86281018399
