"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10";"P11_1";"P11_2";"P11_3";"P12";"P13";"P14";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P18_1";"P18_2";"P18_3";"P18_4";"P19";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P20_6";"P21_1";"P21_2";"P21_3";"P21_4";"P22";"P23";"P27";"P29";"P30";"P31";"P32";"P33";"P34";"P35";"P37";"P38";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"W1";"W2";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_TRAB"
"3965";11;3;3;2;3;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;3;2;2;3;2;2;1;2;3;2;2;3;4;3;3;1;;1;2;3;1;1;;;1;3;3;3;4;2;3;1;1;2;1;2;0,953200701534758;36875,225248595;37785788,021294;11827409,4960741;7287684,10411524;22358434,1987158;42303566,6020097
"3966";26;2;3;2;3;1;1;2;2;2;3;2;2;1;1;1;1;2;2;3;1;2;2;3;2;2;2;3;2;2;3;4;97;4;3;2;;1;1;4;2;2;6;1;2;2;3;3;1;1;4;2;2;2;2;1;1,68017555134875;18455,8943544053;37785788,021294;17647679,2898346;36246752,5612894;16986541,0890921;5621158,26628468
"3967";18;3;3;3;4;1;1;1;1;1;1;2;1;1;2;1;4;1;1;4;4;1;1;4;2;1;1;1;4;4;1;3;4;3;4;1;;1;1;4;1;1;;;1;5;4;4;4;1;4;1;1;3;1;3;0,172316751667459;4041,46286920239;12541491,9498028;4145961,67702737;17934317,9494049;5285096,07002619;14678916,5657496
"3968";27;2;3;2;3;1;1;1;1;2;1;2;1;1;2;1;2;1;3;2;2;1;2;2;1;1;1;1;4;2;2;1;4;2;4;1;;2;3;3;1;2;6;1;1;2;2;1;1;3;3;2;2;1;1;1;0,182835207671238;1314,42989858431;6445651,30382502;4323565,77363878;9550655,77936565;3745107,25072326;972423,15925125
"3969";18;3;3;1;5;1;2;1;2;2;1;2;1;1;2;2;3;2;3;2;3;2;2;3;2;1;1;3;4;1;2;3;4;4;4;1;;1;1;3;1;2;6;1;1;3;97;4;4;1;3;2;2;97;1;3;0,516950255002377;2384,82053842473;12541491,9498028;4145961,67702737;17934317,9494049;6496943,75539045;1261096,76224488
"3970";14;1;1;2;6;1;2;2;2;2;1;2;1;1;1;1;4;2;2;3;4;2;1;4;1;2;2;4;3;2;2;1;1;2;3;4;;1;3;3;1;2;3;2;8;;3;1;1;3;3;3;2;2;3;3;0,0779073972343585;5766,12335311329;6782295,47091322;4323565,77363878;9550655,77936565;3745107,25072326;4904549,87655466
"3971";7;1;1;1;6;4;2;2;2;2;2;2;1;1;1;2;4;97;97;97;97;97;2;97;97;2;2;2;97;2;97;2;3;3;3;1;;2;1;3;1;2;2;2;1;2;5;5;5;1;3;3;2;3;1;3;0,135960135840707;5864,87879805171;6003369,09289076;2212370,50632613;4456488,23198482;3442194,137924;3878461,00883685
"3972";11;2;2;2;5;2;2;1;2;2;1;2;1;97;;97;2;3;97;2;2;2;97;3;2;1;3;2;2;3;2;3;3;97;3;3;1;2;1;4;1;2;2;2;1;4;5;3;5;1;4;3;2;3;1;3;4,49544782757563;103171,18648396;33575137,8555733;15566687,4950334;36246752,5612894;16986541,0890921;23436201,008573
"3973";6;1;2;2;5;2;3;1;1;2;2;2;1;1;2;2;3;2;2;1;3;3;2;2;1;1;1;3;1;3;97;2;2;3;4;3;1;2;3;4;1;1;;;1;2;4;2;2;3;4;1;1;3;1;2;0,270785452628612;4612,10090210758;20598732,7713667;8924923,73398304;27680342,4585361;6304847,12920219;21249094,3854223
"3974";19;2;1;2;6;2;1;1;1;2;3;2;1;1;1;2;2;1;2;1;3;1;2;1;1;1;1;3;1;2;2;4;3;4;3;2;;1;1;4;1;1;;;2;1;97;3;2;1;4;1;1;97;2;3;3,12461911606135;81731,9723938994;37785788,021294;13759966,5114431;36246752,5612894;16986541,0890921;42303566,6020097
"3975";9;2;3;1;5;2;2;1;1;2;2;2;1;1;3;2;2;1;2;2;3;1;2;3;2;1;2;2;3;2;2;3;3;3;3;3;2;2;1;3;1;2;6;1;1;4;97;5;5;1;3;2;2;97;1;2;0,321052016154404;1889,39528648437;6003369,09289076;2212370,50632613;4456488,23198482;3442194,137924;856244,0817912
"3976";18;1;1;2;4;2;1;1;97;2;1;2;1;1;2;1;4;1;3;2;1;3;1;4;1;1;1;3;3;1;1;4;4;4;4;3;1;2;1;2;1;1;;;1;3;97;4;4;1;2;1;1;97;1;1;0,516950255002377;19560,016120884;11515515,6430074;4145961,67702737;17934317,9494049;4258647,17765672;14678916,5657496
"3977";14;3;3;2;3;2;1;1;1;2;2;2;3;1;2;1;3;1;2;2;3;2;2;3;2;1;2;2;2;2;2;1;2;4;2;3;2;1;1;4;2;2;6;1;1;3;4;1;1;1;4;2;2;3;1;3;0,233722191703076;2086,59003876874;6782295,47091322;4323565,77363878;2525639,26899086;2248311,9098027;972423,15925125
"3978";5;1;2;1;4;2;1;1;2;2;3;2;1;1;1;2;3;1;2;3;3;2;2;3;2;2;2;3;3;2;2;3;3;3;3;4;;1;3;3;1;1;;;8;;3;2;3;3;3;1;1;2;3;3;0,0750169140293019;1401,31835790035;23109951,3510767;7605298,17259807;27680342,4585361;11625346,6476257;21249094,3854223
"3979";21;3;3;3;7;1;3;1;2;2;1;2;1;1;2;2;2;1;2;4;4;1;4;1;1;2;1;2;3;2;1;4;4;4;4;1;;2;3;3;1;2;6;1;1;2;2;1;3;3;3;2;2;1;1;1;0,28346952658676;1248,65295326048;6445651,30382502;2362182,97600896;9550655,77936565;3745107,25072326;972423,15925125
"3980";26;2;3;3;97;2;97;1;2;2;1;97;3;1;2;4;2;3;3;3;3;2;2;3;1;2;2;3;3;3;97;3;3;2;4;97;;1;3;2;2;1;;;2;1;2;3;5;3;1;1;1;1;2;3;3,36035110269749;89083,9970122552;37785788,021294;15566687,4950334;27019219,8719441;20407356,954315;42303566,6020097
"3981";18;2;2;1;3;3;2;97;2;2;2;1;2;1;2;2;2;1;2;3;3;1;1;2;1;2;2;2;2;97;3;3;2;4;3;4;;2;1;3;1;1;;;2;2;3;4;2;1;3;1;1;2;2;3;0,516950255002377;28805,2261047142;11515515,6430074;4544842,78151702;17934317,9494049;6496943,75539045;14678916,5657496
"3982";9;1;1;1;1;2;2;2;1;2;2;2;1;1;1;3;2;2;2;97;3;2;2;3;1;2;2;3;3;2;2;1;1;2;4;2;;1;3;3;1;1;;;1;4;3;5;2;3;3;1;1;2;1;3;0,642104032308809;17537,8404503986;6576785,59605944;2556764,80999093;6774440,12421244;3442194,137924;7845449,59832215
"3983";11;2;2;1;4;2;2;2;2;2;2;2;1;1;2;3;2;1;3;3;2;1;2;4;2;1;3;2;3;3;2;1;1;4;2;2;;2;3;4;2;2;2;2;1;2;2;3;5;3;4;3;2;1;1;3;1,42980105230214;27961,423497291;33575137,8555733;15566687,4950334;27019219,8719441;16986541,0890921;23436201,008573
"3984";11;2;1;1;5;2;2;2;2;2;2;2;97;1;2;2;4;2;3;2;4;1;1;1;3;1;1;3;2;2;1;4;4;4;4;2;;1;3;4;1;2;6;1;1;1;2;3;3;3;4;2;2;1;1;1;1,42980105230214;7414,90117019648;37785788,021294;12559183,0844821;27019219,8719441;16986541,0890921;5621158,26628468
"3985";14;3;3;3;3;4;3;2;2;2;2;2;3;1;3;1;3;4;2;3;2;2;2;3;2;2;1;3;4;2;2;1;3;3;3;4;;2;5;3;2;1;;;8;;97;1;2;4;2;1;1;97;3;3;0,233722191703076;5269,22580834106;6445651,30382502;2817899,63437748;181331,3480444;2353760,06971147;7350973,73893233
