"ID";"P03";"P05";"P06";"P07";"P08";"P09";"P10_1";"P10_2";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P18_A";"P19_1";"P19_2";"P19_3";"P19_4";"P20_1";"P20_2";"P20_3";"P20_4";"P20_5";"P21_1";"P21_2";"P21_3";"P21_4";"P21_5";"P21_6";"P22";"P23";"P24";"V05";"V07";"V08";"V09";"V09_A";"V09_B_1";"V09_B_2";"V09_B_3";"V09_B_4";"V09_B_97";"V10";"V11";"V12";"V12_A";"V13";"V14";"V14_A";"V14_B";"V14_C";"V14_D";"V14_F";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_DOM_SIMPLES";"VD_PORTE";"POP_REGIAO_SEXO";"POP_REGIAO_IDADE";"POP_REGIAO_RACA";"POP_REGIAO_EDU";"POP_REGIAO_PORTE";"W1";"W2"
"2143";35;2;4;4;7;3;97;2;5;3;3;1;3;35;2;;;2;1;1;1;2;1;1;2;1;2;2;1;2;2;1;2;1;4;1;5;4;1;2;2;2;2;2;2;2;2;2;;1;97;2;3;1;;;3;5;4;4;3;2;97;1;1;3;39313715,0641353;18051853,6107218;866171,66059673;19056393,9532222;29495819,6060058;0,613466785549385;9768,18259820267
"2144";42;3;5;3;1;2;2;2;3;1;1;1;2;42;1;3;6;2;1;1;1;1;1;2;2;1;2;2;2;2;97;97;2;1;2;1;2;3;2;2;2;2;2;2;2;2;2;2;;1;2;2;3;2;2;1;4;4;2;2;3;2;1;1;2;3;12930544,5058041;4412989,44798431;1010899,68520635;4158783,67245696;4600442,13009103;3,43792220573401;100117,649603902
"2145";35;1;5;2;2;2;1;2;3;1;1;1;2;35;1;1;3;2;2;2;1;1;1;1;2;1;2;2;1;1;2;2;2;1;3;1;1;4;1;2;2;2;2;2;2;1;;;2;1;97;2;3;1;;;3;2;1;4;1;1;97;1;1;2;39313715,0641353;13215495,0630608;38434986,0707912;19056393,9532222;28682242,4740766;0,879264257922035;29484,4330011753
"2146";35;2;6;3;2;2;1;2;3;1;1;1;2;35;1;3;3;2;1;1;1;2;1;1;2;1;2;2;1;1;1;2;1;1;3;2;3;4;1;2;2;2;2;2;2;1;;;1;4;97;1;;;;;3;2;3;4;1;1;97;3;1;3;33729345,155718;13215495,0630608;26621802,0272178;19056393,9532222;29495819,6060058;0,879264257922035;23852,050705018
"2147";43;1;3;1;1;2;1;2;5;1;1;1;2;43;1;5;97;2;1;97;1;2;97;2;97;97;1;1;1;2;2;2;2;1;2;2;1;4;1;2;2;2;2;2;2;1;;;4;1;97;97;;;;;4;3;1;4;1;1;97;1;97;3;11713407,8682251;4413565,07719106;18888615,4929057;6035664,3758086;4600442,13009103;0,310699829756883;13427,2274990193
"2148";31;3;5;2;1;2;1;2;3;1;1;1;2;31;1;3;5;2;2;1;1;1;1;1;2;1;2;2;1;2;2;2;1;2;4;1;1;4;1;2;2;2;2;2;2;1;;;2;1;5;2;3;1;;;3;3;1;4;1;1;3;1;1;3;39313715,0641353;13074442,5753399;38434986,0707912;19056393,9532222;29495819,6060058;0,551268135270436;19023,8107287394
"2149";26;2;6;4;3;3;2;2;5;1;1;3;3;26;1;1;6;2;1;1;1;1;2;2;1;1;2;2;2;2;2;1;2;1;4;2;3;3;1;2;2;2;2;2;2;1;;;5;5;2;2;4;1;;;2;3;3;3;1;1;1;3;1;2;20650371,2362658;8139563,11841058;28042475,6364488;12938473,1900709;14254145,2017422;1,31144067223122;52286,0375657289
"2150";31;3;5;2;1;2;2;2;4;1;1;3;3;31;1;3;3;2;2;2;1;2;1;2;2;1;2;2;1;2;2;2;2;1;3;1;3;3;2;2;2;2;2;2;2;2;2;2;;1;97;2;2;1;;;3;4;3;2;3;2;97;1;1;1;39313715,0641353;12274670,31592;26621802,0272178;11106514,9869069;14864998,1397709;2,20507254108174;116302,152046302
"2151";21;3;6;1;2;1;1;2;3;1;1;1;2;21;1;3;5;2;1;1;2;2;1;2;2;2;1;1;1;2;1;2;1;1;3;2;1;4;2;2;2;2;2;2;2;1;;;5;1;2;2;3;2;1;4;2;1;1;4;1;1;1;1;2;1;20650371,2362658;12114338,2670676;11020165,745746;6955158,89754272;19569199,9578762;0,165336650806999;10969,1303119595
"2152";35;1;5;4;1;2;2;2;5;2;1;1;3;35;1;1;1;2;2;1;1;2;1;2;2;1;2;2;2;2;2;1;2;1;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;1;2;2;3;1;;;3;2;1;1;3;2;1;1;1;2;39313715,0641353;13215495,0630608;38434986,0707912;19816630,074653;28682242,4740766;0,551268135270436;54340,4239931142
